y_test,y_pred,true_width,pred_width,abs_error
1741.17,1741.8081189073991,1741.17,1741.8081189073991,0.6381189073990754
1297.29,1303.0516149618277,1297.29,1303.0516149618277,5.761614961827718
1740.07,1741.0445087396947,1740.07,1741.0445087396947,0.9745087396947838
1370.74,1369.5838342932511,1370.74,1369.5838342932511,1.1561657067488795
967.16,964.3211061816982,967.16,964.3211061816982,2.8388938183018126
1287.38,1285.1859665830148,1287.38,1285.1859665830148,2.1940334169853486
1335.01,1339.429739507771,1335.01,1339.429739507771,4.419739507771055
984.04,980.5755571259369,984.04,980.5755571259369,3.4644428740630246
1389.92,1392.2879441643731,1389.92,1392.2879441643731,2.367944164373057
1169.12,1171.6846941509193,1169.12,1171.6846941509193,2.564694150919422
1245.02,1242.264274813825,1245.02,1242.264274813825,2.7557251861749137
1743.52,1743.6858474346582,1743.52,1743.6858474346582,0.16584743465818974
1175.03,1178.0688404741668,1175.03,1178.0688404741668,3.0388404741668182
1274.57,1278.401793638236,1274.57,1278.401793638236,3.8317936382361495
1271.84,1274.335066223885,1271.84,1274.335066223885,2.4950662238850327
1225.46,1224.8315261312212,1225.46,1224.8315261312212,0.6284738687788831
1258.23,1255.861219127145,1258.23,1255.861219127145,2.368780872855041
1460.33,1459.3626215793533,1460.33,1459.3626215793533,0.9673784206465825
1240.77,1238.5929647456364,1240.77,1238.5929647456364,2.1770352543635454
1188.62,1187.6739095122616,1188.62,1187.6739095122616,0.9460904877382745
1203.44,1206.1907975752256,1203.44,1206.1907975752256,2.7507975752255334
1295.5,1294.039351975661,1295.5,1294.039351975661,1.4606480243389797
1541.14,1537.4623476869049,1541.14,1537.4623476869049,3.677652313095223
1304.8,1307.5438446720734,1304.8,1307.5438446720734,2.7438446720734646
1289.35,1282.0039073994676,1289.35,1282.0039073994676,7.346092600532302
985.75,981.4250229755155,985.75,981.4250229755155,4.324977024484497
1741.36,1736.053566977073,1741.36,1736.053566977073,5.306433022926967
1289.44,1289.158889075706,1289.44,1289.158889075706,0.28111092429412565
1314.23,1315.6364423792734,1314.23,1315.6364423792734,1.4064423792733578
1600.65,1601.7485064691273,1600.65,1601.7485064691273,1.0985064691271873
977.87,974.9148433072297,977.87,974.9148433072297,2.955156692770288
1284.97,1287.932733956025,1284.97,1287.932733956025,2.9627339560249766
1738.16,1740.5257218538136,1738.16,1740.5257218538136,2.365721853813511
1536.49,1535.551872839409,1536.49,1535.551872839409,0.938127160590966
1443.55,1439.3340113086915,1443.55,1439.3340113086915,4.215988691308439
1187.21,1184.4158925959646,1187.21,1184.4158925959646,2.794107404035458
1310.79,1313.4767963863746,1310.79,1313.4767963863746,2.686796386374681
1259.85,1262.915873075083,1259.85,1262.915873075083,3.0658730750831182
1251.55,1250.5588319842127,1251.55,1250.5588319842127,0.9911680157872524
1336.75,1338.4668777050088,1336.75,1338.4668777050088,1.7168777050087556
1544.66,1544.9190821056654,1544.66,1544.9190821056654,0.2590821056653567
1074.58,1079.719467271664,1074.58,1079.719467271664,5.139467271663989
1166.42,1161.4891537968335,1166.42,1161.4891537968335,4.9308462031665385
